,id,text,created_at,final fantasy,retweet_count,reply_count,like_count,quote_count,polarity
14634,1601084756946743296,NEW Gameplay TRAILER  OX REACTS Final Fantasy XVI The Game Awards Show,2022-12-09T05:22:07.000Z,1.0,0,0,0,0,-0.08787878787878789
14680,1601084332184981507,MY GAME AWARDS LIVE REACTIONS  DEATH STRANDING   HADES II  NEW MARIO MOVIE CLIP  FINAL FANTASY AND MORE  via,2022-12-09T05:20:26.000Z,1.0,4,2,85,0,0.07454545454545454
14742,1601083779694530561,ALERT  Final Fantasy XVI  PS5  with exclusive steelbook is NOW up for preorder via Best Buy   VIN  Steelbook   69 99   99 99,2022-12-09T05:18:14.000Z,1.0,0,0,2,0,0.5
15131,1601081035068166144,Final Fantasy XVI is going to be insane     ,2022-12-09T05:07:20.000Z,1.0,0,1,2,0,-0.5
15393,1601079500795543552,No way Final Fantasy was a better ongoing than Fortnite,2022-12-09T05:01:14.000Z,1.0,0,1,5,0,0.25
15398,1601079470492127232,highlights for me  SW Jedi Survivor   Armored Cores VI  Diablo IV  Final Fantasy   Warhammer Space Marine   Kevin Conroy as Batman one more time,2022-12-09T05:01:07.000Z,1.0,0,1,1,0,0.25
15680,1601078086337843200,Thank you so much for inviting me to   I had so much fun    which apparently everyone heard because I yelled at the top of my lungs for Final Fantasy XVI lol,2022-12-09T04:55:37.000Z,1.0,0,6,93,0,0.30833333333333335
15703,1601078013768044544,has ended  amp  this is the best Game Awards show  like ever  Here are my favorite World Premiers  Final Fantasy XVI Tekken  Horizon Forbidden West DLC Star Wars Jedi  SurvivorFFXVI was the highlight  Ima watch that trailer countless times everyday ,2022-12-09T04:55:19.000Z,1.0,0,0,5,0,0.15000000000000002
15709,1601077972240601088,Yes    Final Fantasy  ,2022-12-09T04:55:09.000Z,1.0,0,0,1,0,0.0
15764,1601077771731873792,Big props to for the greatest show ever  Really really impressed with this year s production  I m still reeling from that Final Fantasy XVI trailer,2022-12-09T04:54:22.000Z,1.0,0,0,1,0,0.5
15772,1601077737820549125,ALERT  Revenge is a weapon  I sometimes wonder if I am controlling it or if its controlling me Final Fantasy XVI launches June nd  on PlayStation    VIN  ,2022-12-09T04:54:13.000Z,1.0,1,0,2,1,0.0
15786,1601077678538313728,Watched Another Amazing sight and sounds of   With the reveals of Tekken   Jedi Survivor  Final Fantasy XVI  and Many More Elden Ring won GOTY  amp  I m so happy I just wanted to get that for Christmas  I hope So ,2022-12-09T04:53:59.000Z,1.0,0,0,0,0,0.4800000000000001
15985,1601076869079916544,Top Favorite Game Announcements from     Death Stranding   Final Fantasy XVI   Armored Core VI4  Star Wars  Jedi Survivor5  Earthblade   Crime Boss7  Banishers  Ghost of New Eden8  Replaced9  Horizon Forbidden West  Burning Shores10  After Us,2022-12-09T04:50:46.000Z,1.0,0,1,0,0,0.14727272727272728
16061,1601076545694859264,Was drinking and watching the   didn t even notice the Elden Ring kid I did enjoy the final fantasy related Ws  but the Elden ring kid did ruin the reward acceptance ,2022-12-09T04:49:29.000Z,1.0,0,0,1,0,0.13333333333333333
16188,1601076070652194817,Final Fantasy REVENGE Trailer Reaction Hades Bayonetta Origins ELDEN RING The Game Awards the best of the game award trailer reactions ,2022-12-09T04:47:36.000Z,1.0,2,0,1,0,0.04999999999999999
16303,1601075645760446465,Street Fighter Diablo Jedi SurvivorArmored CoreDeath Stranding Hades Final FantasyYeah some pretty good reveals this year  and Elden Ring winningGOTY makes it overall A,2022-12-09T04:45:55.000Z,1.0,0,0,0,0,0.2375
16385,1601075407544979457,Every sonic and genshin fan at each others throats and then theres me trying to figure out how in the fuck Fortnite lost Best Ongoing game to Final Fantasy    ,2022-12-09T04:44:58.000Z,1.0,0,0,1,0,0.04999999999999999
